activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1410289,[],CHEMBL832925,Inhibition of ATM kinase using rabbit polyclonal antisera; No inhibition observed at 100 uM,B,,,BAO_0000190,BAO_0000357,single protein format,CC1CN(c2cc(=O)c3ccc4ccccc4c3o2)CCO1,,,CHEMBL1141182,J. Med. Chem.,2005,,CHEMBL435507,,CHEMBL435507,,0,http://www.openphacts.org/units/Nanomolar,362154,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1412179,[],CHEMBL828043,Inhibition of ATM kinase using rabbit polyclonal antisera,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,,,CHEMBL1141182,J. Med. Chem.,2005,,CHEMBL98350,LY-294002,CHEMBL98350,,0,http://www.openphacts.org/units/Nanomolar,362137,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1412286,[],CHEMBL832925,Inhibition of ATM kinase using rabbit polyclonal antisera; No inhibition observed at 100 uM,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,,,CHEMBL1141182,J. Med. Chem.,2005,,CHEMBL104468,,CHEMBL104468,,1,http://www.openphacts.org/units/Nanomolar,362138,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1412301,[],CHEMBL832925,Inhibition of ATM kinase using rabbit polyclonal antisera; No inhibition observed at 100 uM,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(N2CCOCC2)nc2c3ccccc3ccn12,,,CHEMBL1141182,J. Med. Chem.,2005,,CHEMBL179242,,CHEMBL179242,,0,http://www.openphacts.org/units/Nanomolar,362184,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1459736,[],CHEMBL829467,Inhibition of Mutated in ataxia telangiectasia protein ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,,,CHEMBL1138727,Bioorg. Med. Chem. Lett.,2004,,CHEMBL188678,,CHEMBL188678,,0,http://www.openphacts.org/units/Nanomolar,382117,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1459742,[],CHEMBL829467,Inhibition of Mutated in ataxia telangiectasia protein ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,,,CHEMBL1138727,Bioorg. Med. Chem. Lett.,2004,,CHEMBL98350,LY-294002,CHEMBL98350,,1,http://www.openphacts.org/units/Nanomolar,382146,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1459747,[],CHEMBL829467,Inhibition of Mutated in ataxia telangiectasia protein ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,,,CHEMBL1138727,Bioorg. Med. Chem. Lett.,2004,,CHEMBL104468,,CHEMBL104468,,1,http://www.openphacts.org/units/Nanomolar,382181,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1832458,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(/C=C/c2ccccc2)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL223559,,CHEMBL223559,,0,http://www.openphacts.org/units/Nanomolar,628878,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832497,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)c1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL223436,,CHEMBL223436,,0,http://www.openphacts.org/units/Nanomolar,628890,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832498,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccc(OCc3ccccc3)cc2)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL225796,,CHEMBL225796,,0,http://www.openphacts.org/units/Nanomolar,628889,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1832499,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2cccc(OCc3ccccc3)c2)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,"{'bei': '13.76', 'le': '0.25', 'lle': '1.28', 'sei': '9.63'}",CHEMBL223980,,CHEMBL223980,5.00,0,http://www.openphacts.org/units/Nanomolar,628888,=,1,1,=,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832500,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccccc2OCc2ccccc2)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,"{'bei': '12.51', 'le': '0.23', 'lle': '0.83', 'sei': '8.76'}",CHEMBL221459,,CHEMBL221459,4.54,0,http://www.openphacts.org/units/Nanomolar,628887,=,1,1,=,,IC50,nM,,28500.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,28.5
,1832501,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccc(OC(F)(F)F)cc2)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL221412,,CHEMBL221412,,0,http://www.openphacts.org/units/Nanomolar,628886,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1832502,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2cccc(OC(F)(F)F)c2)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL222766,,CHEMBL222766,,0,http://www.openphacts.org/units/Nanomolar,628885,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1832503,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1ccc(-c2cc(=O)cc(N3CCOCC3)o2)cc1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL222765,,CHEMBL222765,,0,http://www.openphacts.org/units/Nanomolar,628884,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832504,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL223034,,CHEMBL223034,,0,http://www.openphacts.org/units/Nanomolar,628883,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
