molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL435507,CC1CN(c2cc(=O)c3ccc4ccccc4c3o2)CCO1,inactive,100000.0
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,inactive,100000.0
CHEMBL104468,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,inactive,100000.0
CHEMBL179242,O=c1cc(N2CCOCC2)nc2c3ccccc3ccn12,inactive,100000.0
CHEMBL188678,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,inactive,100000.0
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,inactive,100000.0
CHEMBL104468,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,inactive,100000.0
CHEMBL223559,O=c1cc(/C=C/c2ccccc2)oc(N2CCOCC2)c1,inactive,10000.0
CHEMBL223436,CC(=O)c1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,inactive,10000.0
CHEMBL225796,O=c1cc(-c2ccc(OCc3ccccc3)cc2)oc(N2CCOCC2)c1,inactive,100000.0
CHEMBL223980,O=c1cc(-c2cccc(OCc3ccccc3)c2)oc(N2CCOCC2)c1,inactive,10000.0
CHEMBL221459,O=c1cc(-c2ccccc2OCc2ccccc2)oc(N2CCOCC2)c1,inactive,28500.0
CHEMBL221412,O=c1cc(-c2ccc(OC(F)(F)F)cc2)oc(N2CCOCC2)c1,inactive,100000.0
CHEMBL222766,O=c1cc(-c2cccc(OC(F)(F)F)c2)oc(N2CCOCC2)c1,inactive,100000.0
CHEMBL222765,N#Cc1ccc(-c2cc(=O)cc(N3CCOCC3)o2)cc1,inactive,10000.0
CHEMBL223034,N#Cc1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,inactive,10000.0
CHEMBL222179,O=C(Nc1ccc(-c2cc(=O)cc(N3CCOCC3)o2)cc1)OCc1ccccc1,inactive,100000.0
CHEMBL221565,CC(C)(C)OC(=O)Nc1ccc(-c2cc(=O)cc(N3CCOCC3)o2)cc1,inactive,10000.0
CHEMBL375346,Nc1ccccc1-c1cc(=O)cc(N2CCOCC2)o1,inactive,100000.0
CHEMBL223610,O=c1cc(-c2ccccc2C(F)(F)F)oc(N2CCOCC2)c1,inactive,10000.0
CHEMBL225273,CC(=O)OCc1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,inactive,10000.0
CHEMBL224782,COC(=O)c1ccc(-c2cc(=O)cc(N3CCOCC3)o2)c(N)c1,inactive,100000.0
CHEMBL426894,O=c1cc(-c2ccc(-c3ccccc3)cc2)oc(N2CCOCC2)c1,inactive,10000.0
CHEMBL222815,O=C(OCc1ccccc1)c1ccc(-c2cc(=O)cc(N3CCOCC3)o2)cc1,inactive,100000.0
CHEMBL222181,COC(=O)c1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,inactive,10000.0
CHEMBL373526,COC(=O)c1ccccc1-c1cc(=O)cc(N2CCOCC2)o1,inactive,10000.0
CHEMBL222180,O=C(O)c1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,inactive,100000.0
CHEMBL223437,O=Cc1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,inactive,10000.0
CHEMBL222102,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,active,13.0
CHEMBL373979,O=c1cc(-c2cccc3c2oc2ccccc23)oc(N2CCOCC2)c1,intermediate,3200.0
CHEMBL223041,O=c1cc(-c2cccc3cccnc23)oc(N2CCOCC2)c1,inactive,10000.0
CHEMBL223382,O=Cc1ccc(-c2cc(=O)cc(N3CCOCC3)o2)c2ccccc12,inactive,100000.0
CHEMBL389267,Cc1ccc(-c2cc(=O)cc(N3CCOCC3)o2)c2ccccc12,inactive,10000.0
CHEMBL225609,O=c1cc(-c2ccc3ccccc3c2)oc(N2CCOCC2)c1,inactive,10000.0
CHEMBL225608,O=c1cc(-c2cccc3ccccc23)oc(N2CCOCC2)c1,inactive,100000.0
CHEMBL222545,O=c1cc(-c2cc3ccccc3o2)oc(N2CCOCC2)c1,inactive,18000.0
CHEMBL222544,O=c1cc(-c2cc3ccccc3s2)oc(N2CCOCC2)c1,inactive,10000.0
CHEMBL374930,O=c1cc(-c2csc3ccccc23)oc(N2CCOCC2)c1,intermediate,4300.0
CHEMBL222745,O=c1cc(-c2ccc3[nH]ccc3c2)oc(N2CCOCC2)c1,inactive,10000.0
CHEMBL222577,CC(=O)c1ccc(-c2cc(=O)cc(N3CCOCC3)o2)s1,inactive,10000.0
CHEMBL222525,O=Cc1sccc1-c1cc(=O)cc(N2CCOCC2)o1,inactive,10000.0
CHEMBL223775,O=c1cc(-c2ccco2)oc(N2CCOCC2)c1,inactive,10000.0
CHEMBL223381,O=c1cc(-c2ccsc2)oc(N2CCOCC2)c1,inactive,10000.0
CHEMBL374133,O=c1cc(-c2cccs2)oc(N2CCOCC2)c1,inactive,10000.0
CHEMBL374290,O=C1c2ccccc2C(=O)N1Cc1ccc(-c2cc(=O)cc(N3CCOCC3)o2)cc1,inactive,100000.0
CHEMBL373699,O=C1c2ccccc2C(=O)N1Cc1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,inactive,100000.0
CHEMBL223667,COC(=O)/C=C/c1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,inactive,10000.0
CHEMBL260876,NC(N)=S,active,200.0
CHEMBL104468,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,inactive,100000.0
CHEMBL101797,O=C1Nc2ccccc2/C1=C\c1ccc[nH]1,inactive,12000.0
CHEMBL189584,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,inactive,17600.0
CHEMBL585699,COc1cc(/C=N/Nc2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc(OC)c1O,inactive,10000.0
CHEMBL1221601,O=C(NC(NC(=S)Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl)C(c1ccccc1)c1ccccc1,active,200.0
CHEMBL222102,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,active,13.0
CHEMBL104468,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,inactive,100000.0
CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,inactive,200000.0
CHEMBL479488,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)CC(C)C(C)C2,inactive,1740000.0
